city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,total
Belo Horizonte,64.0,2,2,1,11,accept,not furnished,352.0,1952.0
Campinas,208.0,3,2,4,0,accept,not furnished,0.0,3328.0
Sao Paulo,20.0,1,1,0,5,accept,furnished,602.0,2555.0
Sao Paulo,55.0,2,2,2,6,accept,not furnished,780.0,2004.0
Sao Paulo,32.0,1,1,0,3,accept,not furnished,515.0,2266.0
Sao Paulo,80.0,2,2,1,11,accept,not furnished,1208.0,4007.0
Rio de Janeiro,45.0,1,1,1,10,accept,furnished,2450.0,5576.0
Sao Paulo,350.0,4,4,3,8,accept,not furnished,2100.0,6651.0
Porto Alegre,38.0,1,1,2,11,not accept,not furnished,450.0,2226.0
Sao Paulo,30.0,1,1,0,1,accept,not furnished,460.0,2081.0
Belo Horizonte,80.0,3,2,1,0,accept,not furnished,0.0,11610.0
Sao Paulo,70.0,2,1,0,0,not accept,not furnished,0.0,1227.0
Porto Alegre,40.0,1,1,1,6,accept,furnished,390.0,3424.0
Sao Paulo,300.0,4,6,4,20,accept,not furnished,3700.0,17440.0
Sao Paulo,240.0,3,2,3,0,accept,not furnished,0.0,3845.0
Belo Horizonte,200.0,4,2,1,7,not accept,not furnished,850.0,3443.0
Belo Horizonte,45.0,1,1,1,5,accept,not furnished,500.0,2335.0
Sao Paulo,360.0,4,5,0,1,accept,not furnished,4000.0,12490.0
Sao Paulo,40.0,1,1,1,10,accept,furnished,978.0,3840.0
Belo Horizonte,100.0,3,1,0,13,not accept,not furnished,700.0,1947.0
Porto Alegre,42.0,1,1,2,2,accept,furnished,190.0,2003.0
Campinas,250.0,3,3,2,1,accept,not furnished,2200.0,4178.0
Campinas,48.0,1,1,1,2,accept,furnished,505.0,2185.0
Rio de Janeiro,90.0,3,3,1,10,accept,not furnished,1250.0,5246.0
Sao Paulo,45.0,1,2,1,15,accept,furnished,856.0,4956.0
Rio de Janeiro,150.0,2,3,4,6,accept,not furnished,1700.0,6452.0
Sao Paulo,60.0,2,1,0,2,accept,not furnished,200.0,1664.0
Sao Paulo,31.0,1,1,0,4,accept,not furnished,370.0,2806.0
Sao Paulo,210.0,4,5,4,4,not accept,not furnished,1650.0,11540.0
Sao Paulo,280.0,3,1,2,0,accept,not furnished,0.0,6204.0
Campinas,93.0,2,3,2,9,accept,not furnished,663.0,6366.0
Porto Alegre,75.0,3,2,1,9,accept,not furnished,340.0,2276.0
Sao Paulo,194.0,3,4,3,0,accept,not furnished,0.0,4131.0
Sao Paulo,41.0,1,1,1,6,accept,furnished,523.0,4705.0
Rio de Janeiro,65.0,1,1,1,8,accept,furnished,2000.0,7416.0
Sao Paulo,70.0,2,1,1,13,accept,not furnished,761.0,3006.0
Sao Paulo,278.0,4,5,2,16,accept,furnished,4052.0,14430.0
Rio de Janeiro,35.0,1,1,0,5,accept,not furnished,306.0,1868.0
Campinas,300.0,4,4,3,2,accept,not furnished,2300.0,8794.0
Sao Paulo,61.0,2,1,1,4,accept,not furnished,459.0,2333.0
Rio de Janeiro,130.0,3,2,1,7,accept,not furnished,1660.0,3857.0
Rio de Janeiro,80.0,2,1,1,20,accept,not furnished,500.0,1502.0
Sao Paulo,164.0,4,4,2,6,not accept,not furnished,2159.0,7609.0
Belo Horizonte,220.0,4,2,3,3,accept,not furnished,450.0,3030.0
Sao Paulo,45.0,1,1,0,0,accept,not furnished,0.0,1112.0
Sao Paulo,108.0,3,2,2,7,accept,not furnished,1290.0,7396.0
Belo Horizonte,128.0,1,1,0,4,accept,furnished,418.0,2728.0
Rio de Janeiro,60.0,1,1,0,10,not accept,not furnished,450.0,2322.0
Sao Paulo,250.0,4,5,4,6,accept,not furnished,2050.0,12970.0
Porto Alegre,47.0,1,1,1,1,not accept,furnished,400.0,2633.0
Belo Horizonte,170.0,4,3,4,9,not accept,not furnished,744.0,3776.0
Sao Paulo,45.0,1,1,0,1,not accept,not furnished,300.0,1556.0
Sao Paulo,42.0,1,1,1,15,accept,not furnished,686.0,4354.0
Sao Paulo,164.0,4,4,3,1,accept,not furnished,1840.0,8467.0
Sao Paulo,70.0,3,1,1,1,accept,not furnished,700.0,1933.0
Porto Alegre,100.0,4,3,1,8,accept,not furnished,600.0,2992.0
Sao Paulo,64.0,2,2,2,4,accept,furnished,1300.0,6298.0
Belo Horizonte,68.0,2,1,1,3,accept,not furnished,320.0,1563.0
Belo Horizonte,75.0,2,2,2,14,not accept,not furnished,620.0,3418.0
Sao Paulo,600.0,4,4,4,9,accept,not furnished,7400.0,19380.0
Sao Paulo,63.0,2,2,0,15,not accept,not furnished,590.0,2312.0
Sao Paulo,145.0,3,4,3,1,not accept,not furnished,1200.0,8027.0
Sao Paulo,85.0,2,2,2,3,not accept,not furnished,1500.0,4628.0
Sao Paulo,254.0,4,4,4,7,accept,not furnished,3366.0,14280.0
Porto Alegre,350.0,4,4,4,0,accept,furnished,1.0,9520.0
Sao Paulo,300.0,4,4,3,0,accept,not furnished,0.0,4137.0
Belo Horizonte,296.0,4,3,2,0,accept,not furnished,0.0,14150.0
Sao Paulo,64.0,2,2,2,8,accept,not furnished,450.0,3316.0
Sao Paulo,133.0,3,2,0,6,accept,not furnished,813.0,3846.0
Campinas,44.0,1,1,0,7,accept,not furnished,350.0,919.0
Campinas,240.0,3,4,2,0,accept,not furnished,0.0,3296.0
Porto Alegre,70.0,3,2,1,4,accept,not furnished,490.0,3035.0
Sao Paulo,22.0,1,1,0,26,accept,not furnished,302.0,2423.0
Porto Alegre,50.0,1,1,1,1,accept,not furnished,350.0,1364.0
Porto Alegre,67.0,3,2,2,4,accept,not furnished,600.0,2883.0
Sao Paulo,31.0,1,1,0,6,accept,furnished,430.0,2760.0
Rio de Janeiro,90.0,2,1,1,1,accept,furnished,850.0,4554.0
Rio de Janeiro,109.0,3,3,1,1,accept,not furnished,2000.0,6149.0
Belo Horizonte,400.0,4,2,2,0,not accept,not furnished,0.0,2615.0
Sao Paulo,300.0,4,5,4,0,accept,furnished,0.0,15380.0
Campinas,284.0,4,3,3,4,accept,not furnished,2340.0,8900.0
Porto Alegre,70.0,2,1,1,3,accept,furnished,360.0,2826.0
Rio de Janeiro,309.0,4,5,4,7,accept,not furnished,2661.0,9927.0
Sao Paulo,70.0,2,1,0,0,accept,not furnished,0.0,2266.0
Sao Paulo,360.0,3,4,1,10,accept,not furnished,2300.0,13010.0
Sao Paulo,30.0,1,1,1,10,not accept,not furnished,886.0,2406.0
Campinas,80.0,2,2,2,11,accept,not furnished,832.0,3231.0
Belo Horizonte,133.0,4,4,3,6,not accept,not furnished,1500.0,9394.0
Sao Paulo,38.0,1,1,1,14,not accept,furnished,1620.0,4735.0
Sao Paulo,73.0,2,2,1,7,accept,not furnished,1100.0,4745.0
Sao Paulo,155.0,3,4,2,4,accept,not furnished,1500.0,3676.0
Sao Paulo,63.0,2,2,1,15,accept,not furnished,357.0,3648.0
Sao Paulo,58.0,2,1,1,1,accept,not furnished,0.0,1418.0
Sao Paulo,48.0,1,1,0,9,not accept,furnished,377.0,3871.0
Sao Paulo,210.0,3,4,3,7,accept,not furnished,1700.0,5360.0
Belo Horizonte,100.0,3,2,2,2,accept,not furnished,340.0,2145.0
Sao Paulo,94.0,3,2,2,1,accept,not furnished,1337.0,5093.0
Sao Paulo,94.0,3,3,2,3,accept,furnished,1220.0,6689.0
Sao Paulo,76.0,3,1,1,4,accept,not furnished,1200.0,3999.0
Sao Paulo,192.0,3,3,2,13,accept,not furnished,2100.0,10630.0
Sao Paulo,217.0,3,4,3,1,accept,not furnished,2884.0,9467.0
Sao Paulo,68.0,2,1,1,5,accept,not furnished,610.0,2063.0
Sao Paulo,110.0,3,2,2,2,accept,not furnished,1145.0,3823.0
Belo Horizonte,95.0,2,2,1,3,accept,not furnished,660.0,2446.0
Sao Paulo,900.0,4,6,8,0,accept,not furnished,0.0,19640.0
Sao Paulo,34.0,1,1,0,5,not accept,not furnished,347.0,1608.0
Sao Paulo,192.0,3,4,3,5,accept,not furnished,2000.0,10100.0
Porto Alegre,62.0,2,2,1,9,accept,not furnished,350.0,2252.0
Sao Paulo,180.0,3,3,4,0,accept,not furnished,0.0,3940.0
Campinas,44.0,1,1,0,3,accept,furnished,350.0,1290.0
Belo Horizonte,100.0,2,1,1,1,not accept,not furnished,250.0,2089.0
Rio de Janeiro,140.0,3,3,1,24,not accept,not furnished,900.0,2388.0
Sao Paulo,170.0,3,3,3,8,accept,furnished,1570.0,5054.0
Sao Paulo,100.0,3,2,2,0,not accept,not furnished,0.0,1775.0
Sao Paulo,75.0,3,2,2,4,accept,not furnished,652.0,2355.0
Rio de Janeiro,52.0,2,1,0,2,accept,not furnished,200.0,1459.0
Campinas,999.0,5,7,8,0,accept,not furnished,0.0,14880.0
Sao Paulo,270.0,4,4,4,8,accept,not furnished,2200.0,10790.0
Belo Horizonte,50.0,2,1,1,1,accept,not furnished,160.0,1163.0
Campinas,200.0,3,3,2,0,accept,not furnished,650.0,3078.0
Sao Paulo,71.0,2,2,0,16,accept,not furnished,430.0,2475.0
Sao Paulo,500.0,5,4,6,0,accept,not furnished,0.0,13450.0
Sao Paulo,60.0,2,1,0,0,accept,not furnished,0.0,1191.0
Sao Paulo,110.0,2,1,0,8,accept,not furnished,1100.0,2501.0
Sao Paulo,210.0,3,3,4,0,accept,not furnished,0.0,3620.0
Sao Paulo,220.0,3,4,3,8,accept,not furnished,2021.0,9094.0
Belo Horizonte,200.0,3,2,5,0,not accept,not furnished,0.0,4270.0
Sao Paulo,130.0,3,4,3,2,accept,not furnished,2300.0,7106.0
Sao Paulo,65.0,2,2,2,7,accept,furnished,1037.0,5333.0
Sao Paulo,96.0,3,2,2,17,accept,not furnished,804.0,4295.0
Sao Paulo,660.0,4,5,5,12,accept,furnished,4800.0,26800.0
Rio de Janeiro,107.0,3,2,0,7,accept,furnished,1460.0,4972.0
Rio de Janeiro,105.0,3,2,0,1,accept,not furnished,740.0,2978.0
Rio de Janeiro,100.0,3,2,0,7,accept,not furnished,900.0,4342.0
Sao Paulo,287.0,3,4,4,0,accept,furnished,0.0,9566.0
Campinas,24.0,1,1,0,1,not accept,furnished,230.0,1434.0
Sao Paulo,22.0,1,1,0,0,not accept,not furnished,0.0,991.0
Sao Paulo,70.0,1,1,1,0,not accept,not furnished,0.0,2710.0
Porto Alegre,44.0,1,1,1,2,accept,furnished,250.0,1789.0
Sao Paulo,150.0,3,2,2,0,not accept,not furnished,0.0,2538.0
Sao Paulo,90.0,1,2,2,9,accept,furnished,998.0,4155.0
Sao Paulo,200.0,4,4,2,8,accept,furnished,3000.0,6666.0
Sao Paulo,320.0,8,4,0,0,accept,not furnished,450.0,11460.0
Porto Alegre,90.0,2,1,1,2,not accept,not furnished,550.0,2385.0
Sao Paulo,240.0,4,4,3,9,accept,not furnished,2500.0,5506.0
Sao Paulo,154.0,4,3,3,21,accept,not furnished,1684.0,9793.0
Sao Paulo,60.0,2,2,2,2,accept,not furnished,2340.0,5895.0
Campinas,101.0,3,2,0,5,accept,not furnished,780.0,3282.0
Porto Alegre,140.0,3,4,2,0,not accept,not furnished,0.0,3145.0
Sao Paulo,500.0,4,5,8,0,accept,not furnished,0.0,17080.0
Sao Paulo,110.0,3,3,3,4,accept,not furnished,1195.0,4262.0
Sao Paulo,110.0,3,3,2,0,accept,not furnished,0.0,4923.0
Belo Horizonte,90.0,2,2,2,3,accept,not furnished,200.0,2311.0
Sao Paulo,384.0,4,6,4,3,not accept,furnished,3500.0,19040.0
Sao Paulo,57.0,2,1,1,7,accept,not furnished,570.0,2157.0
Sao Paulo,160.0,3,3,2,5,accept,furnished,1650.0,3589.0
Sao Paulo,39.0,1,1,0,8,accept,not furnished,330.0,1615.0
Campinas,78.0,1,2,1,4,accept,not furnished,0.0,2463.0
Porto Alegre,36.0,1,1,1,0,accept,not furnished,0.0,791.0
Campinas,70.0,2,1,1,1,accept,not furnished,558.0,1774.0
Belo Horizonte,45.0,1,1,1,4,not accept,furnished,300.0,3543.0
Sao Paulo,200.0,3,4,3,1,accept,not furnished,3500.0,13360.0
Sao Paulo,100.0,3,3,3,0,accept,not furnished,0.0,4485.0
Sao Paulo,42.0,1,1,1,14,not accept,not furnished,0.0,5064.0
Sao Paulo,280.0,4,4,1,1,accept,furnished,3000.0,11390.0
Sao Paulo,28.0,1,1,1,13,not accept,furnished,615.0,3493.0
Sao Paulo,30.0,1,1,0,0,not accept,furnished,296.0,2176.0
Belo Horizonte,85.0,3,2,1,1,accept,not furnished,337.0,1945.0
Campinas,83.0,1,1,1,4,not accept,not furnished,500.0,1653.0
Campinas,85.0,3,2,2,16,accept,furnished,550.0,4042.0
Belo Horizonte,90.0,3,2,2,3,accept,not furnished,325.0,2052.0
Belo Horizonte,50.0,2,1,0,5,accept,not furnished,0.0,1012.0
Rio de Janeiro,50.0,1,1,0,8,accept,not furnished,600.0,3672.0
Belo Horizonte,300.0,3,2,3,0,not accept,not furnished,0.0,7349.0
Porto Alegre,39.0,1,1,0,7,accept,not furnished,350.0,1240.0
Sao Paulo,750.0,4,4,6,0,accept,not furnished,0.0,17310.0
Porto Alegre,60.0,2,1,0,1,accept,not furnished,222.0,1385.0
Rio de Janeiro,68.0,2,1,0,4,not accept,not furnished,750.0,2026.0
Sao Paulo,70.0,2,1,1,0,accept,not furnished,230.0,1546.0
Sao Paulo,90.0,2,2,1,6,accept,furnished,900.0,7572.0
Rio de Janeiro,258.0,5,6,0,0,accept,not furnished,0.0,9503.0
Sao Paulo,200.0,2,2,6,0,accept,not furnished,0.0,4860.0
Sao Paulo,123.0,2,2,2,6,accept,not furnished,1800.0,5453.0
Sao Paulo,127.0,3,2,2,0,accept,furnished,220.0,2470.0
Belo Horizonte,180.0,4,2,2,0,accept,not furnished,0.0,2040.0
Sao Paulo,110.0,3,2,0,0,not accept,not furnished,0.0,3328.0
Rio de Janeiro,70.0,2,2,1,7,accept,furnished,585.0,2404.0
Sao Paulo,35.0,1,1,1,8,accept,furnished,720.0,3889.0
Sao Paulo,219.0,3,2,2,0,accept,not furnished,0.0,3094.0
Rio de Janeiro,25.0,1,1,0,0,accept,not furnished,50.0,760.0
Rio de Janeiro,170.0,4,5,0,10,accept,not furnished,1200.0,9031.0
Rio de Janeiro,45.0,1,1,0,8,accept,not furnished,900.0,2589.0
Belo Horizonte,420.0,4,4,2,0,not accept,not furnished,0.0,7315.0
Porto Alegre,46.0,1,1,0,4,accept,not furnished,0.0,1104.0
Sao Paulo,145.0,3,3,2,1,accept,furnished,1088.0,7212.0
Belo Horizonte,59.0,2,2,1,2,accept,not furnished,190.0,1364.0
Belo Horizonte,225.0,4,3,0,8,accept,not furnished,1850.0,9916.0
Sao Paulo,210.0,4,4,3,3,accept,not furnished,2270.0,8115.0
Porto Alegre,76.0,1,1,0,0,accept,not furnished,209.0,1529.0
Sao Paulo,220.0,3,4,3,2,not accept,not furnished,2500.0,8966.0
Sao Paulo,109.0,3,2,2,7,accept,not furnished,1746.0,4412.0
Belo Horizonte,95.0,2,1,1,3,accept,not furnished,646.0,1780.0
Sao Paulo,32.0,1,1,0,0,not accept,not furnished,280.0,1850.0
Sao Paulo,480.0,4,6,5,9,accept,not furnished,6660.0,24910.0
Sao Paulo,53.0,1,1,1,3,accept,not furnished,694.0,5340.0
Sao Paulo,40.0,1,1,0,0,not accept,not furnished,0.0,809.0
Sao Paulo,50.0,1,1,1,4,accept,furnished,500.0,3864.0
Sao Paulo,60.0,1,1,0,0,accept,not furnished,0.0,1575.0
Porto Alegre,64.0,2,2,2,7,not accept,not furnished,450.0,2022.0
Rio de Janeiro,140.0,3,3,2,4,accept,furnished,2280.0,14970.0
Sao Paulo,121.0,3,3,1,12,accept,not furnished,800.0,3200.0
Campinas,43.0,1,1,1,4,accept,furnished,498.0,2709.0
Sao Paulo,20.0,1,1,1,3,not accept,furnished,1700.0,3078.0
Campinas,58.0,2,1,1,3,accept,not furnished,289.0,1263.0
Belo Horizonte,570.0,5,6,7,0,accept,furnished,0.0,9340.0
Sao Paulo,88.0,2,1,1,2,accept,not furnished,980.0,3806.0
Sao Paulo,89.0,3,2,2,19,accept,not furnished,900.0,7161.0
Porto Alegre,47.0,1,1,1,1,not accept,furnished,400.0,2633.0
Sao Paulo,40.0,1,1,0,0,accept,not furnished,0.0,1167.0
Rio de Janeiro,40.0,1,1,0,1,accept,furnished,386.0,2453.0
Rio de Janeiro,60.0,1,2,1,3,accept,not furnished,400.0,1240.0
Sao Paulo,25.0,1,1,0,14,accept,not furnished,257.0,1928.0
Porto Alegre,50.0,2,1,0,13,accept,not furnished,340.0,1517.0
Porto Alegre,90.0,3,1,0,1,accept,not furnished,145.0,1347.0
Sao Paulo,173.0,3,3,3,2,accept,not furnished,3000.0,5851.0
Campinas,91.0,3,2,2,12,accept,not furnished,700.0,3154.0
Sao Paulo,90.0,3,2,2,6,not accept,not furnished,1710.0,3035.0
Sao Paulo,530.0,5,6,4,2,accept,furnished,8300.0,28490.0
Belo Horizonte,155.0,1,4,0,4,not accept,not furnished,1117000.0,1120000.0
Sao Paulo,40.0,1,1,0,0,not accept,not furnished,0.0,1317.0
Sao Paulo,296.0,4,5,3,3,accept,not furnished,0.0,15190.0
Sao Paulo,87.0,3,2,1,17,accept,not furnished,850.0,2468.0
Sao Paulo,300.0,3,3,5,0,accept,not furnished,0.0,5660.0
Sao Paulo,136.0,3,3,3,13,accept,not furnished,1430.0,6054.0
Sao Paulo,52.0,2,1,0,4,accept,not furnished,0.0,1357.0
Porto Alegre,94.0,2,2,2,8,accept,not furnished,600.0,3773.0
Rio de Janeiro,300.0,4,5,3,7,accept,not furnished,3850.0,17520.0
Rio de Janeiro,100.0,3,3,1,3,accept,not furnished,850.0,4221.0
Sao Paulo,500.0,4,6,3,0,accept,not furnished,6466.0,16410.0
Sao Paulo,240.0,3,4,3,3,accept,furnished,3600.0,9613.0
Belo Horizonte,308.0,2,3,3,0,accept,not furnished,0.0,2204.0
Sao Paulo,350.0,4,5,4,15,accept,furnished,2700.0,8683.0
Sao Paulo,75.0,2,2,0,2,accept,not furnished,570.0,2039.0
Sao Paulo,155.0,3,2,3,4,accept,furnished,2600.0,15120.0
Sao Paulo,260.0,3,5,4,12,accept,not furnished,2227.0,9772.0
Sao Paulo,80.0,2,2,1,0,not accept,not furnished,0.0,1707.0
Rio de Janeiro,85.0,3,1,1,6,accept,not furnished,810.0,2921.0
Sao Paulo,120.0,2,2,2,22,not accept,furnished,1400.0,5320.0
Sao Paulo,100.0,2,2,1,0,accept,not furnished,0.0,2000.0
Sao Paulo,240.0,4,5,4,6,not accept,not furnished,1869.0,6131.0
Sao Paulo,360.0,7,6,6,0,accept,not furnished,0.0,5595.0
Sao Paulo,42.0,1,1,0,0,not accept,not furnished,0.0,1117.0
Sao Paulo,33.0,1,1,1,14,accept,furnished,600.0,3548.0
Rio de Janeiro,48.0,1,1,0,1,not accept,not furnished,626.0,1713.0
Rio de Janeiro,36.0,1,1,0,5,accept,not furnished,350.0,1537.0
Sao Paulo,270.0,6,3,6,0,accept,not furnished,0.0,4985.0
Campinas,75.0,2,1,1,2,accept,not furnished,670.0,2007.0
Rio de Janeiro,46.0,2,1,0,3,not accept,not furnished,270.0,1891.0
Sao Paulo,350.0,3,3,3,0,not accept,not furnished,0.0,11440.0
Porto Alegre,131.0,3,3,1,10,accept,furnished,1625.0,3522.0
Campinas,90.0,3,2,1,3,accept,not furnished,920.0,2366.0
Rio de Janeiro,26.0,1,1,0,4,not accept,not furnished,390.0,2182.0
Rio de Janeiro,44.0,1,1,0,3,accept,furnished,400.0,1529.0
Sao Paulo,70.0,2,2,0,0,accept,not furnished,0.0,1909.0
Belo Horizonte,40.0,1,1,0,0,not accept,not furnished,0.0,915.0
Belo Horizonte,320.0,4,2,4,0,accept,not furnished,0.0,3459.0
Sao Paulo,213.0,2,2,3,0,accept,not furnished,0.0,5228.0
Sao Paulo,80.0,2,1,0,1,not accept,not furnished,0.0,1114.0
Campinas,70.0,1,1,0,6,accept,not furnished,500.0,1341.0
Rio de Janeiro,60.0,2,1,1,5,accept,not furnished,690.0,2235.0
Sao Paulo,270.0,4,4,4,5,accept,not furnished,4500.0,19350.0
Rio de Janeiro,70.0,2,1,1,3,accept,not furnished,800.0,2161.0
Porto Alegre,300.0,6,2,2,0,accept,not furnished,0.0,6349.0
Sao Paulo,220.0,4,5,3,14,accept,furnished,2050.0,14950.0
Porto Alegre,64.0,2,2,2,7,accept,not furnished,450.0,2108.0
Rio de Janeiro,80.0,3,3,1,7,not accept,not furnished,1100.0,2589.0
Sao Paulo,56.0,1,1,0,9,accept,furnished,625.0,3238.0
Sao Paulo,161.0,4,3,2,1,accept,not furnished,1450.0,12040.0
Sao Paulo,35.0,1,1,0,0,accept,not furnished,350.0,1718.0
Sao Paulo,720.0,4,6,5,0,accept,furnished,0.0,15560.0
Sao Paulo,280.0,4,5,4,6,not accept,not furnished,2500.0,6491.0
Porto Alegre,96.0,3,2,0,2,accept,not furnished,408.0,2623.0
Campinas,236.0,3,4,4,10,accept,not furnished,1600.0,13180.0
Sao Paulo,81.0,3,2,1,4,accept,not furnished,204.0,1734.0
Sao Paulo,62.0,2,1,1,1,accept,not furnished,580.0,2343.0
Belo Horizonte,125.0,3,2,0,2,accept,not furnished,150.0,1435.0
Sao Paulo,37.0,1,1,1,6,accept,furnished,890.0,5203.0
Sao Paulo,60.0,2,2,1,11,accept,not furnished,1680.0,5931.0
Sao Paulo,230.0,4,2,3,1,accept,not furnished,3600.0,10220.0
Sao Paulo,210.0,4,5,2,1,accept,furnished,3800.0,12410.0
Sao Paulo,450.0,4,3,8,0,accept,not furnished,0.0,14390.0
Sao Paulo,234.0,3,5,4,0,accept,furnished,0.0,4136.0
Belo Horizonte,135.0,4,3,2,2,not accept,not furnished,868.0,3659.0
Sao Paulo,395.0,4,5,3,0,accept,not furnished,0.0,6213.0
Porto Alegre,92.0,2,2,1,2,accept,not furnished,450.0,2242.0
Sao Paulo,412.0,3,5,6,21,accept,not furnished,2000.0,6462.0
Sao Paulo,42.0,1,1,1,27,accept,not furnished,560.0,6028.0
Sao Paulo,33.0,1,1,0,12,not accept,furnished,385.0,3549.0
Porto Alegre,28.0,2,1,1,0,accept,not furnished,0.0,611.0
Sao Paulo,190.0,4,4,2,0,not accept,not furnished,0.0,4740.0
Sao Paulo,165.0,4,3,3,10,accept,furnished,2440.0,10110.0
Porto Alegre,44.0,1,1,0,5,accept,not furnished,355.0,1593.0
Sao Paulo,60.0,2,1,1,4,accept,not furnished,603.0,2004.0
Sao Paulo,380.0,3,3,2,1,accept,not furnished,3580.0,15800.0
Rio de Janeiro,73.0,2,1,0,4,accept,not furnished,375.0,1336.0
Belo Horizonte,19.0,1,1,0,5,accept,not furnished,620.0,1820.0
Campinas,230.0,3,5,4,6,accept,not furnished,1800.0,9396.0
Porto Alegre,37.0,1,1,1,2,accept,not furnished,500.0,3037.0
Sao Paulo,124.0,3,2,3,7,accept,not furnished,1450.0,8434.0
Rio de Janeiro,115.0,3,2,1,8,accept,furnished,1090.0,3919.0
Campinas,600.0,3,3,4,0,accept,not furnished,0.0,5967.0
Rio de Janeiro,700.0,5,5,4,0,accept,furnished,1380.0,18280.0
Porto Alegre,35.0,1,1,0,1,accept,not furnished,100.0,944.0
Belo Horizonte,15.0,1,1,0,3,not accept,furnished,0.0,1115.0
Campinas,80.0,3,2,1,2,accept,not furnished,570.0,2164.0
Porto Alegre,48.0,1,1,0,4,accept,not furnished,200.0,949.0
Belo Horizonte,96.0,3,2,1,2,accept,not furnished,922.0,2579.0
Sao Paulo,150.0,3,2,1,7,accept,furnished,1843.0,8984.0
Belo Horizonte,105.0,3,2,2,2,not accept,not furnished,1681.0,5415.0
Belo Horizonte,204.0,4,4,4,22,not accept,furnished,2701.0,13600.0
Rio de Janeiro,125.0,3,1,2,11,accept,not furnished,1317.0,4120.0
Rio de Janeiro,50.0,2,1,0,3,not accept,not furnished,490.0,2870.0
Sao Paulo,250.0,3,4,3,0,not accept,not furnished,0.0,4031.0
Sao Paulo,300.0,3,4,3,7,accept,furnished,3000.0,6276.0
Sao Paulo,80.0,2,1,1,0,accept,not furnished,0.0,1578.0
Rio de Janeiro,130.0,3,4,1,2,not accept,not furnished,1200.0,2953.0
Sao Paulo,120.0,2,3,0,2,accept,not furnished,904.0,4441.0
Sao Paulo,540.0,3,3,4,9,accept,not furnished,6200.0,24890.0
Sao Paulo,23.0,1,1,0,23,accept,not furnished,392.0,2560.0
Sao Paulo,15.0,1,1,0,0,not accept,furnished,0.0,2532.0
Sao Paulo,72.0,1,2,2,19,accept,not furnished,900.0,5151.0
Rio de Janeiro,95.0,3,2,2,7,accept,not furnished,985.0,3437.0
Sao Paulo,330.0,4,5,4,13,accept,not furnished,2870.0,14120.0
Sao Paulo,75.0,2,2,2,7,not accept,furnished,1600.0,8684.0
Sao Paulo,53.0,1,1,1,4,accept,not furnished,690.0,5344.0
Sao Paulo,178.0,3,2,1,2,not accept,not furnished,1200.0,3305.0
Sao Paulo,150.0,3,2,0,0,accept,not furnished,0.0,4085.0
Sao Paulo,50.0,2,1,1,4,accept,not furnished,520.0,1766.0
Sao Paulo,150.0,3,2,1,0,not accept,not furnished,0.0,2597.0
Porto Alegre,25.0,1,1,0,0,accept,furnished,286.0,1296.0
Sao Paulo,210.0,3,4,4,13,not accept,not furnished,3150.0,16460.0
Belo Horizonte,75.0,3,2,1,4,accept,not furnished,600.0,2195.0
Belo Horizonte,200.0,2,4,3,12,accept,not furnished,1897.0,17920.0
Sao Paulo,350.0,4,4,0,0,accept,not furnished,0.0,9110.0
Porto Alegre,49.0,2,1,1,7,accept,not furnished,360.0,1557.0
